subject,sL,sC,sR,noise_amp,S_amplitude,S_d,U_int_amplitude,U_int_baseline,U_int_onset,U_ext_amplitude
A86,-0.23841425870159583,-0.0586595818481328,-0.2984345070869949,0.06340738712342038,0.9151746343652122,0.2600419758814041,2.5159494112940592,-2.545434916845352,0.43492218455099463,0.3711467305519771
A86_1,-0.46375407676052305,-0.3634841230021948,-0.3173952315246851,0.033598835731096614,1.1767221618993133,0.5042813407033293,2.9555243853496904,-2.805282666727578,0.46274191728741737,
A86_10,-0.26886392144073223,-0.18648413266613595,-0.12996627858824805,0.045286625773605024,1.0733793276795622,0.39064403047920193,2.593837305970027,-2.5471521799464742,0.4621578118139782,
A86_4,-0.3296848679681261,-0.17406308824001826,-0.13281999648597775,0.04875159254623188,1.0985067865937026,0.4659214665338823,2.7076513744232216,-2.6473959506370193,0.48453814328920364,
A86_5,-0.47811238985849513,-0.36291396852556357,-0.32614367245558196,0.03226988882369224,1.1091601946775547,0.39484076398534834,2.9597475316881585,-2.768304845117042,0.4709362234147715,
A86_6,-0.4324102650475936,-0.24816783051233227,-0.17806666231805401,0.04073740821235875,1.2083410896139704,0.45144427416357547,2.7271988548282664,-2.633175381280788,0.4396120796368057,
A86_7,-0.1261047733569285,-0.12458049956694595,-0.0233376003743615,0.01874681351464187,1.1752833198352164,0.44967360960363295,2.3940034626575653,-2.49963418389234,0.42701143783079165,
A86_8,-0.6064109886065125,-0.2702483693137765,-0.3109638439491391,0.015440720880326187,1.456483032554388,0.6349104586988688,2.9644129052758217,-2.738753668963909,0.62174610465765,
A86_9,-0.5101011758763434,-0.48754721612999674,-0.3528556275155097,0.024807799364579827,1.2842047228019737,0.4529540076049216,2.929012005819459,-2.7152928435407375,0.442945527284377,
A86_new_b,0.058589254511502986,0.1089572112637569,0.13860697365649344,0.6023745778878435,1.2700658986515094,0.5103444995830273,2.0646508193932505,-2.31297288029333,0.5179363357022908,
A86_th,-0.23514647197289662,-0.2165040433032006,-0.11549559295330347,0.2902602264324319,1.3718546194245977,0.43586709549823105,2.580885440089645,-2.4319816900068343,0.5834866048934515,
A87,-0.4058518616718523,-0.6186135029012476,-0.5594414650425925,0.03108849266305732,0.804984696116653,0.28488302063813076,2.710049691259343,-2.7392608880307634,0.49189700573960826,0.9329929182627736
A88,-0.24965232263366488,-0.15873022921550728,-0.3957898256867338,0.034364650138105905,0.7810089158197115,0.2057491191979352,2.8888747331657214,-3.0341640354345145,0.4600046790851229,1.4456529598285304
A89,-0.7994242682414576,-0.25745062447204337,-0.19718655390239626,0.0657385746067698,0.6969189924526181,0.5341397229024664,2.6174521827744,-2.7537636934779783,0.529663756357675,1.1400086314209794
A92,-0.4273228911452662,-0.060502582788387826,-0.5455641788309862,0.10986768073436771,1.1683909805474229,0.21229928769427317,2.175688427505179,-2.522758254990009,0.5172393150793442,2.3603349682429022
