ntrials,M,time,nll,nll_per_trial,stability_M
1203,100,0.678225040435791,951.053712297268,0.7905683393992253,
1203,200,1.1559867858886719,956.8591104858508,0.795394106804531,0.006104174888881773
1203,400,2.308479070663452,955.614096234171,0.7943591822395437,0.001301146885718203
1203,800,4.605072021484375,946.082945916246,0.7864363640201546,0.009973848602155319
1203,900,5.190600872039795,946.9405094173675,0.7871492181358001,0.0009064358519759513
1203,1000,5.738009214401245,945.9460599235524,0.7863225768275581,0.0010501710338983472
2406,100,1.1552879810333252,1946.0542831346183,0.8088338666394922,
2406,200,2.2988929748535156,1934.603225622283,0.8040744911148308,0.0058842436264884435
2406,400,4.585515975952148,1932.5937381329877,0.8032392926571021,0.001038707814957083
2406,800,9.199941158294678,1925.3068536809458,0.8002106623777829,0.003770520574635427
2406,900,10.346194982528687,1926.1518028517137,0.8005618465717845,0.0004388646771564778
2406,1000,11.551007986068726,1923.9566500947867,0.7996494805048989,0.0011396571929983878
6014,100,2.8374998569488525,4860.269758922416,0.8081592548923207,
6014,200,5.660186052322388,4841.573957727102,0.8050505416905724,0.003846659161457503
6014,400,11.297557830810547,4829.404491411751,0.8030270188579567,0.0025135351481988207
6014,800,22.617146968841553,4815.939685022876,0.8007881085837838,0.0027880883477084087
6014,900,25.403910875320435,4813.349046913872,0.8003573406907004,0.0005379299323577727
6014,1000,28.39363384246826,4816.33482067163,0.8008538112190938,0.0006203110825034254
12028,100,5.648380994796753,9831.500056108474,0.817384440980086,
12028,200,11.24696397781372,9765.875167798844,0.8119284309776226,0.006674961901551971
12028,400,22.36274480819702,9732.76309259281,0.8091755148480886,0.0033905896437439343
12028,800,45.1165509223938,9717.502964938263,0.8079067978831279,0.0015679131927253803
12028,900,50.78541612625122,9717.527407099024,0.8079088299882793,2.5152717574567543e-6
12028,1000,56.15005016326904,9709.861405368982,0.8072714836522266,0.0007888839834340845
