ntrials,M,time,nll,nll_per_trial,stability_M
1633,100,0.9025499820709229,1442.8519744623577,0.8835590780541076,
1633,200,1.6038999557495117,1425.1749983146974,0.8727342304437828,0.012251413492535999
1633,400,3.221437931060791,1425.4252965221715,0.872887505524906,0.000175626296960109
1633,800,6.302190065383911,1424.8279681983176,0.8725217196560426,0.0004190527032958436
1633,900,7.211561918258667,1422.275376881666,0.8709585896397221,0.0017915084302277107
1633,1000,7.884544849395752,1420.9770764428456,0.87016354956696,0.0009128333794732681
3266,100,1.542720079421997,2875.0983517138843,0.8803118039540369,
3266,200,3.084390878677368,2853.976780812638,0.8738446971257312,0.0073463820424283545
3266,400,6.073613882064819,2850.1148258013654,0.8726622246789238,0.0013531837530132902
3266,800,12.284138917922974,2849.8765117840244,0.8725892565168476,8.361558460158496e-5
3266,900,13.82171106338501,2847.6874186192117,0.8719189891669357,0.0007681361475701296
3266,1000,16.168133020401,2843.711190760611,0.8707015280957168,0.001396300672820652
8164,100,3.9193549156188965,7198.435878432182,0.8817290394943879,
8164,200,7.687933921813965,7139.214976797408,0.8744751318958118,0.008226912434159652
8164,400,15.46673583984375,7134.30108507508,0.8738732343306075,0.0006882958053929634
8164,800,30.953931093215942,7131.306767943668,0.8735064634913852,0.00041970714379788485
8164,900,34.302871227264404,7121.68407496813,0.8723277896825244,0.0013493590009049134
8164,1000,38.47460198402405,7124.262246325097,0.8726435872519718,0.000362017091719915
16329,100,7.625980854034424,14279.203472515626,0.8744689492630061,
16329,200,15.255686044692993,14203.870307667697,0.8698554907016779,0.00527572598800266
16329,400,30.536931037902832,14156.297703035152,0.8669421093168689,0.0033492705581002905
16329,800,60.98577809333801,14124.258445746193,0.8649800015767158,0.0022632511664465553
16329,900,68.59156489372253,14132.968334888319,0.8655134016099161,0.0006166616941755154
16329,1000,76.17226791381836,14125.531371813056,0.865057956507628,0.000526213807251235
