subject,model,backend,target,target_label,polarity,polarity_label,opto,opto_amp,magnitude,M,n_trials,n_param_rows,param_nll_per_trial,frac_correct
A92,temporalU,numba,sides,Sides,excitation,Excitation,Opto off,0.0,0.5,200,9996,1,0.8083956224972898,0.45539315726290486
A92,temporalU,numba,sides,Sides,excitation,Excitation,Opto on,0.5,0.5,200,9996,1,0.8083956224972898,0.4083393357342931
A92,temporalU,numba,center,Center,inhibition,Inhibition,Opto off,0.0,0.5,200,9996,1,0.8083956224972898,0.45539315726290486
A92,temporalU,numba,center,Center,inhibition,Inhibition,Opto on,-0.5,0.5,200,9996,1,0.8083956224972898,0.41365346138455245
A92,temporalU,numba,sides,Sides,inhibition,Inhibition,Opto off,0.0,0.5,200,9996,1,0.8083956224972898,0.45539315726290486
A92,temporalU,numba,sides,Sides,inhibition,Inhibition,Opto on,-0.5,0.5,200,9996,1,0.8083956224972898,0.3587434973989589
A93,temporalU,numba,center,Center,excitation,Excitation,Opto off,0.0,0.5,200,7306,1,0.7412433193905751,0.5286435806186695
A93,temporalU,numba,center,Center,excitation,Excitation,Opto on,0.5,0.5,200,7306,1,0.7412433193905751,0.34556186695866253
A93,temporalU,numba,sides,Sides,excitation,Excitation,Opto off,0.0,0.5,200,7306,1,0.7412433193905751,0.5286435806186695
A93,temporalU,numba,sides,Sides,excitation,Excitation,Opto on,0.5,0.5,200,7306,1,0.7412433193905751,0.41882562277580043
A93,temporalU,numba,center,Center,inhibition,Inhibition,Opto off,0.0,0.5,200,7306,1,0.7412433193905751,0.5286435806186695
A93,temporalU,numba,center,Center,inhibition,Inhibition,Opto on,-0.5,0.5,200,7306,1,0.7412433193905751,0.44731385162879833
A93,temporalU,numba,sides,Sides,inhibition,Inhibition,Opto off,0.0,0.5,200,7306,1,0.7412433193905751,0.5286435806186695
A93,temporalU,numba,sides,Sides,inhibition,Inhibition,Opto on,-0.5,0.5,200,7306,1,0.7412433193905751,0.3413146728716124
A95,temporalU,numba,center,Center,excitation,Excitation,Opto off,0.0,0.5,200,4445,1,0.7635993645597607,0.5716389201349831
