subject,model,backend,target,target_label,polarity,polarity_label,opto,opto_amp,magnitude,M,n_trials,n_param_rows,param_nll_per_trial,frac_correct
A92,spatial_reduced3,numba,sides,Sides,inhibition,Inhibition,Opto off,0.0,2.0,200,6684,14,0.810991510165902,0.45974566128067035
A92,spatial_reduced3,numba,sides,Sides,inhibition,Inhibition,Opto on,-2.0,2.0,200,6684,14,0.810991510165902,0.6195855774985038
A93,spatial_reduced3,numba,center,Center,excitation,Excitation,Opto off,0.0,2.0,200,2493,14,0.7274730573774455,0.6044705174488567
A93,spatial_reduced3,numba,center,Center,excitation,Excitation,Opto on,2.0,2.0,200,2493,14,0.7274730573774455,0.9999859606899318
A93,spatial_reduced3,numba,center,Center,inhibition,Inhibition,Opto off,0.0,2.0,200,2493,14,0.7274730573774455,0.6044705174488567
A93,spatial_reduced3,numba,center,Center,inhibition,Inhibition,Opto on,-2.0,2.0,200,2493,14,0.7274730573774455,0.0
A93,spatial_reduced3,numba,sides,Sides,excitation,Excitation,Opto off,0.0,2.0,200,4813,14,0.7274730573774455,0.5476366091834616
A93,spatial_reduced3,numba,sides,Sides,excitation,Excitation,Opto on,2.0,2.0,200,4813,14,0.7274730573774455,4.7787242883856224e-05
A93,spatial_reduced3,numba,sides,Sides,inhibition,Inhibition,Opto off,0.0,2.0,200,4813,14,0.7274730573774455,0.5476366091834616
A93,spatial_reduced3,numba,sides,Sides,inhibition,Inhibition,Opto on,-2.0,2.0,200,4813,14,0.7274730573774455,0.7129555370870558
A95,spatial_reduced3,numba,center,Center,excitation,Excitation,Opto off,0.0,2.0,200,1618,14,0.7599761659321883,0.6379542645241038
A95,spatial_reduced3,numba,center,Center,excitation,Excitation,Opto on,2.0,2.0,200,1618,14,0.7599761659321883,1.0
A95,spatial_reduced3,numba,center,Center,inhibition,Inhibition,Opto off,0.0,2.0,200,1618,14,0.7599761659321883,0.6379542645241038
A95,spatial_reduced3,numba,center,Center,inhibition,Inhibition,Opto on,-2.0,2.0,200,1618,14,0.7599761659321883,0.0
A95,spatial_reduced3,numba,sides,Sides,excitation,Excitation,Opto off,0.0,2.0,200,2827,14,0.7599761659321883,0.5967191368942343
