ntrials,M,time,nll,nll_per_trial,stability_M
1633,100,5.3818769454956055,1438.0516887720883,0.8806195277232629,
1633,200,10.607691049575806,1428.4105217122199,0.8747155674906429,0.0067043258146727135
3266,100,10.621313095092773,2873.6301907293036,0.879862275177374,
3266,200,21.17515993118286,2864.637008225254,0.8771086981706228,0.0031295545728405863
