subject,sL,sC,sR,noise_amp,S_amplitude,S_d,U_int_amplitude,U_int_baseline,U_int_onset
A89_crn,0.50262114,0.443091,0.51049746,1.34303011,0.20443493,0.89958194,1.52882953,-1.06071861,0.32024637
A92_crn,0.6882233,0.69988023,0.72324361,0.23015009,0.03599739,0.31731853,0.67601192,-0.87997555,0.0016417
