subject;model;sL;sC;sR;noise_amp;S_amplitude;S_d;U_int_amplitude;U_int_baseline;U_ext_amplitude;nll;n_trials;nll/trial;nll_eval
A89;spatialU_notrandom;0.329152425970733;0.34598544303480594;0.35410561045523536;0.7671771664818656;0.16087069751132732;0.1120453777300554;1.726481268004136;-1.2695619913138216;-0.09999841378521523;7585.039366084444;9996;0.7588074595922812;17246.51260726763
A83;spatialU_notrandom;0.4883743044301809;0.501932975872478;0.4887291188715608;1.0841019065121569;0.18593286863906544;0.3456923853860644;0.944077402644325;-0.9896930489485385;-0.09567497580428608;6973.421062835172;9451;0.7378500754243119;12801.509480822759
A87;spatialU_notrandom;0.26470942000023;0.448688728668202;0.3103867958327555;1.8949141228450013;0.4082849709481695;0.0021767513031761276;2.8532878319725796;-2.4339390457127195;0.44061269659812297;7368.213809863386;9996;0.7371162274773295;16888.171836904752
A86;spatialU_notrandom;0.12384461052137397;0.37587307837392814;0.28286824544024114;1.9275678381246806;0.37508344391728315;0.2402712191209673;2.256323422363721;-2.2695000618420806;0.46770499255819686;7312.6932656713525;9996;0.7315619513476743;16451.3714126436
A84;spatialU_notrandom;0.4537162275519222;0.36454532691277564;0.5053572363685817;0.8555816618542027;0.23701307803392413;0.09654026823118328;1.4892177935689688;-1.3339658360928297;-0.07584426738321781;400.90979386643426;651;0.6158368569376871;407.19354278355206
A95;spatialU_notrandom;0.42842668309317844;0.5282772359151693;0.4564615499002116;0.9022745835440485;0.19395596371859597;0.1967532737669046;2.0270205088336297;-1.647051180526546;-0.09999871477850775;3980.137402770653;5220;0.7624784296495504;3978.74508740627
A96;spatialU_notrandom;0.28215532774629537;0.4460501453722827;0.35257255443139;0.8562499698450998;0.18818459392641673;0.5320604259613901;1.7195518169319257;-1.5270264849532396;-0.09999999997671694;4828.30936114662;6884;0.7013813714623214;6904.988262770989
A93;spatialU_notrandom;0.3433167797047645;0.4398842775262892;0.37552999751642346;0.7080359292300681;0.15806805273517965;0.1874240767210722;1.6890541575849056;-1.3752948073670268;-0.09983798954635859;5336.650306637861;7409;0.7202929284165017;7571.979295673268
A92;spatialU_notrandom;0.35409297877645773;0.47212111255247624;0.5315498358239896;1.5652465672985392;0.32076803408526494;4.3900514834493976e-08;3.579676200850841;-2.2968771653773175;-0.09999999999999787;8058.402156675084;9996;0.8061626807398043;25387.941772285638
A89;spatialU;-0.16324646055124958;-0.08445339034318522;-0.1687565183812012;0.8174111238374815;0.2191307158269774;0.4037411319664329;0.001209490902510879;-1.8511035722845008;2.352301830803981;8071.135137985708;9996;0.8074364883939283;18689.48079269148
A89;spatialU;1.619375168877923;1.8975452422791932;1.8282663054571913;1.9909902516471099;0.7084558932202708;0.5316724103759498;0.01389456197648542;-4.401511876248605;3.644906159453967;6008.738601406888;7497;0.801485741150712;18685.7114061618
A89;spatialU;-0.7154757403477561;-0.4313030662306119;-0.7169104954664363;1.9631593173282456;0.6364872292464133;0.14353339569643137;0.14406407938804477;-3.0962840524152853;4.135860361915547;8059.300138317568;9996;0.8062525148376919;18715.850577329005
