subject;model_min_trial;model_min_eval;coincide;nll_trial_min;nll_eval_min;Δ_nll_eval-trial
A83;spatialU_notrandom;spatialU_notrandom;True;0.7378500754243119;12802.76657405207;12802.028723976646
A84;spatialU_notrandom;spatialU_notrandom;True;0.6158368569376871;402.1971758368383;401.58133897990064
A86;spatialU_notrandom;spatialU_notrandom;True;0.7315619513476743;16437.835994660774;16437.104432709428
A87;spatialU_notrandom;spatialU_notrandom;True;0.7371162274773295;16867.21489298166;16866.477776754185
A89;spatialU;spatialU;True;0.755428967088094;17149.17113498839;17148.415706021304
A92;spatialU_notrandom;spatialU_notrandom;True;0.8061626807398043;25387.754634507175;25386.948471826436
A93;spatialU_notrandom;spatialU_notrandom;True;0.7202929284165017;7574.090430764231;7573.370137835815
A95;spatialU_notrandom;spatialU_notrandom;True;0.7624784296495504;3975.9307568417007;3975.168278412051
A96;spatialU_notrandom;spatialU_notrandom;True;0.7013813714623214;6897.702948195858;6897.001566824396
