subject;model;sL;sC;sR;noise_amp;S_amplitude;S_d;U_int_amplitude;U_int_baseline;U_int_onset;U_ext_amplitude;nll;n_trials;nll/trial;nll_eval;coincide_min;model_min_trial;model_min_eval
A83;spatial_reduced_cert;-0.8616453181052748;-0.8655187324945928;-0.9583810573521988;;0.1843009357952905;0.9557246139050676;2.111749733738179;;;;6966.932819250584;9451.0;0.7371635614485857;12758.809881519242;;;
A83;spatial_reduced_cert;-0.610193886095658;-0.6118749375455081;-0.6943384422920644;;0.1831113659963011;0.9028615147806704;1.8700630329549317;;;;6972.095911983057;9451.0;0.7377098626582432;12752.458034708952;True;spatial_reduced_cert;spatial_reduced_cert
A84;spatial_reduced_cert;-0.8841924453154206;-0.9999679990578444;-0.8984492823947221;;0.2924697596020996;3.5645766183700633e-05;2.88745859824121;;;;395.0807095327848;651.0;0.6068828103422194;401.2404782836368;;;
A84;spatial_reduced2;0.1118502419558353;0.0;0.1316659849835559;1.0;0.2420269843237474;1.1641521080463235e-11;1.3584196302108469;-1.0;0.0;0.0;403.57691430271694;651.0;0.6199338161332058;394.7614555662613;False;spatial_reduced_cert;spatial_reduced2
A86;spatial_reduced_cert;-0.2027014526167931;-0.0659782200057179;-0.1271747657560809;;0.196189258948234;0.2851871359224333;1.5566885161078972;;;;7282.941089602538;9996.0;0.7285855431775249;16391.316025398075;;;
A86;spatial_reduced_cert;-0.192853313063793;-0.0550509610073106;-0.1167700071306256;;0.1963680539827442;0.3152000096975967;1.520643200768177;;;;7288.772475169952;9996.0;0.7291689150830284;16384.940060494286;True;spatial_reduced_cert;spatial_reduced_cert
A87;spatial_reduced_cert;0.1242661630811081;0.2105699283809405;0.1491404278337142;;0.201207657733237;0.1437074881047997;1.2467526071260764;;;;7322.713953711104;9996.0;0.7325644211395662;16770.886800377768;;;
A87;spatial_reduced2;-0.0910940540743467;0.0;-0.0748801233348785;1.0;0.1917424200041568;0.305328570909478;1.4714450140018016;-1.0;0.0;0.0;5565.743168472107;7497.0;0.7423960475486338;16764.470233112635;False;spatial_reduced_cert;spatial_reduced2
A89;spatialU;-0.6123372580560256;-0.6023182892768499;-0.6263486620091818;0.4897582315266771;0.0941708159378978;0.1782948507735192;0.960798468281844;-1.344115343340304;;1.192886489246817;7551.267955012588;9996.0;0.755428967088094;17128.82670834369;;;
A89;spatialU;-0.6123372580560256;-0.6023182892768499;-0.6263486620091818;0.4897582315266771;0.0941708159378978;0.1782948507735192;0.960798468281844;-1.344115343340304;;1.192886489246817;7551.267955012588;9996.0;0.755428967088094;17128.82670834369;True;spatialU;spatialU
A92;spatial_reduced_cert;0.5308197252019227;0.5749726775138697;0.6270109160561219;;0.1577072528278722;7.018681799086934e-07;0.7438685448360047;;;;7976.544282974748;9996.0;0.7979736177445726;25062.8707567823;;;
A92;spatial_reduced_cert;0.5308197252019227;0.5749726775138697;0.6270109160561219;;0.1577072528278722;7.018681799086934e-07;0.7438685448360047;;;;7976.544282974748;9996.0;0.7979736177445726;25062.8707567823;True;spatial_reduced_cert;spatial_reduced_cert
A93;spatial_reduced_cert;-0.3530861940103023;-0.2458691329429712;-0.3384352175207823;;0.1943852247122231;0.67054493004066;1.5257005690527876;;;;5323.823815596006;7409.0;0.7185617243347289;7548.681769893259;;;
A93;spatial_reduced_cert;-0.3723053284920752;-0.2523415165487677;-0.3636079283896833;;0.2018622685223818;0.497605588613078;1.6064966656267643;;;;5329.686448212947;7409.0;0.7193530096116812;7538.684979783942;True;spatial_reduced_cert;spatial_reduced_cert
A95;spatial_reduced2;-0.0609700679196976;0.0;-0.0510097123333253;1.0;0.1905955541366711;0.6617413668660448;1.1968552903272212;-1.0;0.0;0.0;3702.315755551679;4956.0;0.7470370773913799;3946.211172428418;;;
A95;spatial_reduced_cert;-0.1641364167794492;-0.0964898176437358;-0.1604972717468875;;0.1755740165842024;0.8372666423601665;1.294323757297832;;;;3928.38356383866;5220.0;0.7525639011185172;3921.82583310564;False;spatial_reduced2;spatial_reduced_cert
A96;spatial_reduced_cert;-0.9999740873844658;-0.825870680935676;-0.9999999999999964;;0.2152385038829092;0.7893737745711775;2.120518245876326;;;;4814.423414714217;6884.0;0.6993642380468067;6898.738696573933;;;
A96;spatial_reduced_cert;-0.6577016262274356;-0.4938018830791861;-0.6328210515780484;;0.2139387598428527;0.6613878097577356;1.7956049686963524;;;;4823.534669994891;6884.0;0.7006877789068697;6873.094805697806;True;spatial_reduced_cert;spatial_reduced_cert
